symptoms,severity,max_weight,num_symptoms
"muscle cramps, mild allergies, back pain, minor rash, sprained ankle",YELLOW,3,5
sprained ankle,YELLOW,3,1
"mild headache, abdominal pain",YELLOW,4,2
"mild allergies, mild itching, chronic indigestion, dehydration, chapped lips, jaundice",YELLOW,4,6
"mild sunburn, slight sore throat",GREEN,2,2
"mild cough, persistent headache, back pain, weight loss unintentional",YELLOW,4,4
mild bloating,GREEN,2,1
"high fever with chills, fever, mild anxiety, stuffy nose",ORANGE,5,4
"minor rash, severe headache",ORANGE,5,2
"no pulse detected, numbness one side",RED,7,2
severe headache,ORANGE,5,1
"paper cut, choking, mild cough, chemical exposure",RED,7,4
"watery eyes, septic shock symptoms, heart attack symptoms, nausea and vomiting",RED,7,4
"open wound deep, coughing blood",ORANGE,6,2
"severe trauma, choking, chest pain",RED,7,3
"confusion, stuffy nose, mild body ache",ORANGE,5,3
common cold,GREEN,1,1
"fever, blood in stool",ORANGE,5,2
mild constipation,GREEN,2,1
"loss of consciousness brief, poisoning suspected, difficulty speaking suddenly, massive hemorrhage, tension pneumothorax",RED,7,5
"electrocution, drowning, mild acne, night sweats, dizziness",RED,7,5
"severe infection signs, severe headache, jaundice, back pain, urinary burning",ORANGE,5,5
"runny nose, stuffy nose, mild anxiety",GREEN,2,3
chest pain,RED,7,1
chapped lips,GREEN,1,1
"toothache severe, minor rash, severe headache",ORANGE,5,3
common cold,GREEN,1,1
"cardiac arrest, blue lips",RED,7,2
"severe trauma, mild allergies, stuffy nose, cardiac arrest",RED,7,4
runny nose,GREEN,1,1
"severe bleeding uncontrolled, fever, gunshot wound, dry skin, jaundice, blue lips",RED,7,6
"swollen lymph nodes, coughing blood, frequent urination, severe infection signs, ear pain",ORANGE,6,5
"swollen lymph nodes, severe burn, mild itching, vomiting",ORANGE,6,4
"severe bleeding uncontrolled, massive hemorrhage, drowning, sprained ankle",RED,7,4
"blood in urine, high fever, eye pain, chapped lips, mild itching",YELLOW,4,5
"runny nose, diarrhea",YELLOW,3,2
"loss of consciousness brief, high fever with chills",ORANGE,6,2
"eye pain, blood in urine, blood in stool, severe burn, poisoning suspected, mild constipation",ORANGE,6,6
loss of consciousness prolonged,RED,7,1
"mild headache, stab wound, muscle soreness after exercise, ankle swelling",RED,7,4
"paper cut, migraine",YELLOW,4,2
"wheezing, dandruff, common cold, muscle cramps",YELLOW,4,4
"runny nose, muscle soreness after exercise, dandruff",GREEN,2,3
"mild headache, stab wound, chest pain",RED,7,3
"no pulse detected, multi organ failure signs, muscle cramps, eye pain",RED,7,4
"back pain, difficulty speaking suddenly, severe dehydration",ORANGE,6,3
"loss of consciousness brief, severe asthma attack, severe burn",ORANGE,6,3
"dandruff, mild body ache, swollen lymph nodes",YELLOW,3,3
mild stomach discomfort,GREEN,2,1
"severe burn, sudden weakness, severe pain",ORANGE,6,3
"eye pain, dry skin",YELLOW,3,2
anaphylaxis,RED,7,1
"runny nose, mild acne",GREEN,1,2
blue lips,RED,7,1
"dandruff, sneezing, paper cut",GREEN,1,3
"severe abdominal pain, chest pain, vomiting blood, heart attack symptoms",RED,7,4
"dehydration, mild itching, sneezing, chapped lips",YELLOW,4,4
"chest pain, severe head trauma, spinal injury suspected",RED,7,3
"muscle soreness after exercise, eye pain, minor bruise, joint pain",YELLOW,3,4
"poisoning suspected, severe chest tightness, confusion",ORANGE,6,3
"minor fracture pain, skin rash with fever, vomiting blood, diabetic emergency",ORANGE,6,4
watery eyes,GREEN,1,1
"sprained ankle, minor bruise, persistent headache, insomnia, occasional heartburn",YELLOW,3,5
"severe allergic reaction, abdominal pain, jaundice, animal bite deep",ORANGE,6,4
"mild cough, dehydration, minor fracture pain, migraine",YELLOW,4,4
"choking, severe head trauma, jaundice, gunshot wound",RED,7,4
"severe head trauma, heart attack symptoms, unconscious",RED,7,3
"frequent urination, mild bloating",YELLOW,3,2
"seizure single, ear pain, severe back pain radiating, broken bone visible",ORANGE,6,4
"mild anxiety, chronic indigestion",YELLOW,3,2
"mild sunburn, mild itching, stuffy nose",GREEN,2,3
"mild acne, back pain, sore throat with fever, minor rash, mild anxiety",YELLOW,4,5
"persistent headache, joint pain, frequent urination",YELLOW,3,3
"dandruff, mild fatigue, occasional heartburn, frequent urination, chest tightness",YELLOW,4,5
"severe asthma attack, shortness of breath",ORANGE,6,2
"mild constipation, minor bruise, common cold",GREEN,2,3
"severe allergic reaction, stuffy nose, stab wound, shortness of breath, drowning",RED,7,5
"stuffy nose, night sweats, confusion, muscle cramps, drug overdose suspected, difficulty speaking suddenly",ORANGE,6,6
"chest pain, no pulse detected",RED,7,2
"numbness one side, drug overdose suspected, mild allergies, severe pain",ORANGE,6,4
"persistent cough, urinary burning",YELLOW,4,2
"joint pain, ear pain",YELLOW,3,2
"stuffy nose, watery eyes",GREEN,1,2
"persistent headache, minor rash",YELLOW,3,2
"high fever with chills, confusion, chest tightness, difficulty speaking suddenly, minor mouth ulcer, mild fatigue",ORANGE,6,6
"severe dehydration, jaundice",ORANGE,5,2
"abdominal pain, dehydration, ankle swelling, mild acne",YELLOW,4,4
"skin rash with fever, persistent fatigue",YELLOW,4,2
"persistent cough, massive hemorrhage, sneezing",RED,7,3
"hiccups, muscle soreness after exercise",GREEN,2,2
"back pain, mild bloating, stuffy nose",YELLOW,3,3
"seizure single, diabetic emergency, animal bite deep, mild nausea, sore throat with fever, back pain",ORANGE,6,6
"joint pain, watery eyes, mild constipation, chapped lips",YELLOW,3,4
"sore throat with fever, shortness of breath",ORANGE,6,2
"chest pain, severe bleeding uncontrolled",RED,7,2
"facial drooping, severe burn, multi organ failure signs",RED,7,3
"mild bloating, skin infection, ankle swelling, mild acne",YELLOW,3,4
"eye injury, blue lips, chapped lips, electrocution, anaphylaxis",RED,7,5
"watery eyes, choking, severe asthma attack",RED,7,3
"mild sunburn, no pulse detected, vomiting, back pain, not breathing, stab wound",RED,7,6
minor mouth ulcer,GREEN,2,1
"watery eyes, mild acne",GREEN,1,2
"sprained ankle, blurred vision, dry skin",YELLOW,4,3
"weight loss unintentional, mild sunburn, slight sore throat, hiccups",YELLOW,4,4
"stab wound, electrocution",RED,7,2
"mild anxiety, mild cough, mild constipation, high fever",YELLOW,4,4
"mild bloating, painful urination",YELLOW,3,2
"hiccups, mild cough, high fever with chills, confusion, broken bone visible",ORANGE,6,5
"hiccups, minor bruise",GREEN,1,2
"eye pain, watery eyes, common cold",YELLOW,3,3
"mild headache, chest pain, severe bleeding uncontrolled, persistent headache",RED,7,4
"slight sore throat, mild itching, broken bone visible",ORANGE,6,3
"animal bite deep, not breathing, sneezing, stab wound, diabetic emergency, cardiac arrest",RED,7,6
"severe headache, severe pain, minor fracture pain",ORANGE,5,3
coughing blood,ORANGE,6,1
"eye pain, dehydration, migraine",YELLOW,4,3
"spinal injury suspected, persistent headache, chest pain, toothache severe",RED,7,4
"coughing blood, severe allergic reaction, diabetic emergency",ORANGE,6,3
"chest tightness, minor bruise, blood in urine, numbness in fingers",YELLOW,4,4
"loss of consciousness prolonged, septic shock symptoms",RED,7,2
"hiccups, paper cut",GREEN,1,2
"electrocution, runny nose",RED,7,2
"minor bruise, mild bloating, slight sore throat",GREEN,2,3
"mild fatigue, runny nose, fever, severe asthma attack",ORANGE,6,4
"slight sore throat, insomnia, urinary burning, severe back pain radiating",ORANGE,5,4
"chapped lips, common cold",GREEN,1,2
"mild itching, blurred vision, poisoning suspected, confusion, wheezing, difficulty speaking suddenly",ORANGE,6,6
"ear pain, sudden weakness, shortness of breath, difficulty speaking suddenly",ORANGE,6,4
"stuffy nose, open wound deep, severe nosebleed, mild allergies, vomiting, severe back pain radiating",ORANGE,5,6
"mild sunburn, persistent cough, nausea and vomiting, minor mouth ulcer, back pain",YELLOW,4,5
"mild anxiety, not breathing, confusion, frequent urination, chest pain, blue lips",RED,7,6
"fever, mild itching, mild nausea",YELLOW,4,3
"facial drooping, difficulty breathing",ORANGE,6,2
"muscle soreness after exercise, toothache severe, skin infection, mild acne, mild stomach discomfort",YELLOW,3,5
"difficulty breathing, eye injury",ORANGE,6,2
"heart attack symptoms, coughing blood, stuffy nose, severe head trauma, unconscious, wheezing",RED,7,6
"blurred vision, animal bite deep, mild body ache",ORANGE,5,3
broken bone visible,ORANGE,6,1
"numbness in fingers, facial drooping, eye injury, muscle cramps, high fever, severe nosebleed",ORANGE,6,6
"hiccups, minor rash",GREEN,2,2
"muscle soreness after exercise, minor bruise",GREEN,2,2
"mild anxiety, fever, mild fatigue, difficulty breathing",ORANGE,6,4
dandruff,GREEN,1,1
"broken bone visible, minor mouth ulcer",ORANGE,6,2
"skin rash with fever, blue lips, seizure continuous, unconscious, vomiting blood, mild stomach discomfort",RED,7,6
"weight loss unintentional, urinary burning, severe dehydration",ORANGE,5,3
stuffy nose,GREEN,1,1
"mild nausea, muscle soreness after exercise",GREEN,2,2
"difficulty breathing, minor mouth ulcer, severe allergic reaction, mild allergies, head injury, slight sore throat",ORANGE,6,6
"chest tightness, coughing blood, head injury",ORANGE,6,3
"mild body ache, minor bruise",GREEN,2,2
"mild sunburn, dry skin, sneezing",GREEN,2,3
"blood in stool, chest tightness, joint pain, difficulty breathing",ORANGE,6,4
"chest tightness, blurred vision, mild itching, jaundice, minor rash",YELLOW,4,5
"persistent fatigue, numbness one side, high fever, mild nausea",ORANGE,6,4
"mild body ache, skin infection, paper cut, mild headache, migraine",YELLOW,4,5
"persistent cough, severe allergic reaction, swollen lymph nodes",ORANGE,6,3
"mild allergies, muscle soreness after exercise, high fever, painful urination, dandruff",YELLOW,4,5
numbness one side,ORANGE,6,1
"minor rash, open wound deep",ORANGE,5,2
"severe back pain radiating, stuffy nose, loss of consciousness brief",ORANGE,6,3
"minor mouth ulcer, mild body ache, insomnia",GREEN,2,3
"occasional heartburn, insomnia, common cold, severe abdominal pain",ORANGE,6,4
"migraine, diabetic emergency, loss of consciousness brief, occasional heartburn, severe nosebleed, ear pain",ORANGE,6,6
"tension pneumothorax, drowning, choking",RED,7,3
"loss of consciousness brief, dandruff, eye injury, mild bloating, minor bruise",ORANGE,6,5
occasional heartburn,GREEN,2,1
massive hemorrhage,RED,7,1
"multi organ failure signs, severe bleeding uncontrolled, anaphylaxis, hiccups, minor rash, sudden weakness",RED,7,6
"slight sore throat, septic shock symptoms, electrocution, blue lips, vomiting",RED,7,5
"spinal injury suspected, open wound deep, swollen lymph nodes, runny nose",RED,7,4
watery eyes,GREEN,1,1
"difficulty breathing, severe chest tightness, severe abdominal pain",ORANGE,6,3
"muscle soreness after exercise, hiccups, mild acne",GREEN,2,3
"blue lips, mild fatigue",RED,7,2
"dandruff, mild allergies",GREEN,2,2
"drowning, persistent fatigue, migraine",RED,7,3
"diabetic emergency, severe headache, paper cut, difficulty breathing",ORANGE,6,4
"stroke symptoms, abdominal pain, chronic indigestion",RED,7,3
"eye injury, mild constipation, blurred vision",ORANGE,5,3
"mild stomach discomfort, urinary burning, vomiting, mild constipation, sneezing",YELLOW,4,5
"painful urination, migraine, skin rash with fever",YELLOW,4,3
"mild bloating, mild sunburn, stuffy nose",GREEN,2,3
muscle soreness after exercise,GREEN,2,1
"severe infection signs, facial drooping, head injury",ORANGE,6,3
common cold,GREEN,1,1
"minor mouth ulcer, mild fatigue",GREEN,2,2
"mild bloating, blood in urine",YELLOW,4,2
"wheezing, common cold, blurred vision",YELLOW,4,3
"paper cut, dry skin, minor bruise",GREEN,1,3
"vomiting blood, numbness one side, urinary burning, occasional heartburn, poisoning suspected, ankle swelling",ORANGE,6,6
"severe burn, eye injury, painful urination",ORANGE,6,3
"persistent cough, gunshot wound, heart attack symptoms, drug overdose suspected, mild nausea",RED,7,5
"mild nausea, mild bloating",GREEN,2,2
"watery eyes, facial drooping, severe abdominal pain, broken bone visible",ORANGE,6,4
"abdominal pain, diabetic emergency, diarrhea, migraine",ORANGE,6,4
"mild itching, joint pain, blue lips, tension pneumothorax",RED,7,4
"mild itching, insomnia, blurred vision",YELLOW,4,3
"mild body ache, insomnia, slight sore throat",GREEN,2,3
severe pain,ORANGE,5,1
mild allergies,GREEN,2,1
"open wound deep, severe trauma, skin rash with fever",RED,7,3
common cold,GREEN,1,1
seizure continuous,RED,7,1
mild acne,GREEN,1,1
mild body ache,GREEN,2,1
"mild allergies, severe bleeding uncontrolled, drowning, vomiting blood",RED,7,4
"mild stomach discomfort, mild constipation, weight loss unintentional, mild fatigue",YELLOW,4,4
"watery eyes, sneezing, dehydration, sore throat with fever, abdominal pain, common cold",YELLOW,4,6
"mild headache, occasional heartburn",GREEN,2,2
"swollen lymph nodes, diabetic emergency",ORANGE,6,2
"mild allergies, occasional heartburn, minor bruise",GREEN,2,3
"skin infection, persistent headache, mild nausea",YELLOW,3,3
"sneezing, mild stomach discomfort",GREEN,2,2
"mild stomach discomfort, slight sore throat, ear pain",YELLOW,3,3
"mild nausea, sore throat with fever, mild acne, chest tightness, muscle cramps",YELLOW,4,5
"multi organ failure signs, chest pain, cardiac arrest, dizziness, severe nosebleed",RED,7,5
slight sore throat,GREEN,1,1
"no pulse detected, severe nosebleed, joint pain, anaphylaxis, choking",RED,7,5
"ear pain, sneezing, persistent cough, severe chest tightness, severe back pain radiating",ORANGE,6,5
"confusion, dehydration, night sweats, head injury",ORANGE,6,4
"mild acne, mild allergies, mild cough, joint pain",YELLOW,3,4
"muscle soreness after exercise, hiccups",GREEN,2,2
"sneezing, mild itching, wheezing",YELLOW,4,3
mild anxiety,GREEN,2,1
"muscle soreness after exercise, watery eyes",GREEN,2,2
"dry skin, fever, blurred vision, abdominal pain",YELLOW,4,4
"stroke symptoms, dizziness, seizure continuous, chest pain",RED,7,4
"skin infection, abdominal pain, severe pain, watery eyes",ORANGE,5,4
"high fever with chills, eye injury, poisoning suspected",ORANGE,6,3
"no pulse detected, chapped lips, swollen lymph nodes, mild itching",RED,7,4
"mild bloating, sneezing, mild itching",GREEN,2,3
"painful urination, persistent cough, loss of consciousness prolonged",RED,7,3
"numbness one side, night sweats, animal bite deep, shortness of breath",ORANGE,6,4
"hiccups, chapped lips, mild nausea",GREEN,2,3
"mild body ache, sneezing, mild sunburn",GREEN,2,3
"watery eyes, mild itching",GREEN,1,2
"shortness of breath, electrocution, persistent fatigue, mild nausea",RED,7,4
"blue lips, massive hemorrhage, no pulse detected",RED,7,3
high fever,YELLOW,4,1
"mild stomach discomfort, minor mouth ulcer, insomnia",GREEN,2,3
"skin infection, no pulse detected, numbness in fingers",RED,7,3
"hiccups, mild constipation, chemical exposure",ORANGE,6,3
"persistent fatigue, nausea and vomiting, cardiac arrest",RED,7,3
"numbness one side, poisoning suspected",ORANGE,6,2
"minor bruise, sore throat with fever, open wound deep, ankle swelling",ORANGE,5,4
"diarrhea, sore throat with fever, stuffy nose, minor mouth ulcer, mild acne",YELLOW,4,5
"severe chest tightness, seizure continuous, stroke symptoms",RED,7,3
"dandruff, insomnia",GREEN,2,2
"insomnia, mild acne, mild constipation",GREEN,2,3
"dandruff, minor rash, mild body ache",GREEN,2,3
"mild nausea, chronic indigestion, minor bruise, blood in stool",ORANGE,5,4
"chronic indigestion, septic shock symptoms, choking",RED,7,3
sprained ankle,YELLOW,3,1
"shortness of breath, diabetic emergency, persistent headache, severe asthma attack, migraine",ORANGE,6,5
"dandruff, severe nosebleed, high fever with chills",ORANGE,5,3
"severe bleeding uncontrolled, anaphylaxis, severe allergic reaction, seizure continuous, sprained ankle",RED,7,5
"open wound deep, muscle soreness after exercise, occasional heartburn, watery eyes, severe headache",ORANGE,5,5
severe pain,ORANGE,5,1
"toothache severe, mild itching, common cold, paper cut",YELLOW,3,4
severe bleeding uncontrolled,RED,7,1
"eye injury, head injury",ORANGE,6,2
"chapped lips, severe trauma, sudden weakness",RED,7,3
"toothache severe, severe head trauma",RED,7,2
"electrocution, insomnia, hiccups, loss of consciousness prolonged, spinal injury suspected",RED,7,5
"occasional heartburn, muscle soreness after exercise",GREEN,2,2
"sudden weakness, difficulty breathing, spinal injury suspected, massive hemorrhage, cardiac arrest",RED,7,5
"muscle cramps, coughing blood, open wound deep, mild fatigue, severe allergic reaction",ORANGE,6,5
"severe burn, open wound deep, diabetic emergency",ORANGE,6,3
"mild fatigue, watery eyes",GREEN,2,2
"chest pain, cardiac arrest, minor bruise, seizure continuous, common cold",RED,7,5
"sore throat with fever, common cold, fever, drug overdose suspected",ORANGE,6,4
minor mouth ulcer,GREEN,2,1
severe trauma,RED,7,1
"mild itching, tension pneumothorax, stroke symptoms, seizure continuous",RED,7,4
"minor rash, seizure continuous, blue lips, loss of consciousness prolonged",RED,7,4
"common cold, joint pain, minor mouth ulcer, diarrhea, skin rash with fever",YELLOW,4,5
eye pain,YELLOW,3,1
"watery eyes, severe burn",ORANGE,6,2
"chapped lips, mild nausea, seizure continuous, chest pain, unconscious",RED,7,5
"severe back pain radiating, frequent urination, shortness of breath, severe asthma attack",ORANGE,6,4
"mild nausea, jaundice, slight sore throat, mild stomach discomfort",YELLOW,4,4
"wheezing, unconscious, severe pain, loss of consciousness prolonged",RED,7,4
"skin infection, diarrhea",YELLOW,3,2
"ear pain, minor bruise, persistent headache, diarrhea",YELLOW,3,4
"skin rash with fever, urinary burning, migraine",YELLOW,4,3
mild constipation,GREEN,2,1
"back pain, persistent cough",YELLOW,3,2
severe head trauma,RED,7,1
"paper cut, persistent cough, wheezing, hiccups, blood in urine",YELLOW,4,5
"sore throat with fever, jaundice",YELLOW,4,2
"runny nose, common cold",GREEN,1,2
"hiccups, frequent urination, ear pain, dry skin",YELLOW,3,4
"swollen lymph nodes, mild body ache, mild constipation, mild cough, skin rash with fever",YELLOW,4,5
"runny nose, back pain, severe headache, paper cut",ORANGE,5,4
"runny nose, seizure single, loss of consciousness prolonged, no pulse detected, chest pain",RED,7,5
sneezing,GREEN,1,1
"weight loss unintentional, skin rash with fever",YELLOW,4,2
mild constipation,GREEN,2,1
"dizziness, high fever",YELLOW,4,2
"mild constipation, mild anxiety, insomnia",GREEN,2,3
"occasional heartburn, runny nose, numbness in fingers, mild cough, persistent fatigue, dehydration",YELLOW,4,6
"spinal injury suspected, minor rash, chest tightness",RED,7,3
"loss of consciousness brief, painful urination, difficulty breathing, weight loss unintentional, sprained ankle, eye injury",ORANGE,6,6
"blood in stool, dandruff, high fever, diabetic emergency",ORANGE,6,4
"severe dehydration, paper cut, mild cough, severe back pain radiating",ORANGE,5,4
"mild allergies, night sweats, sore throat with fever",YELLOW,4,3
drug overdose suspected,ORANGE,6,1
"fever, migraine",YELLOW,4,2
poisoning suspected,ORANGE,6,1
"paper cut, muscle soreness after exercise",GREEN,2,2
"minor bruise, fever, watery eyes, paper cut",YELLOW,4,4
"sore throat with fever, stroke symptoms, no pulse detected, swollen lymph nodes",RED,7,4
not breathing,RED,7,1
"mild anxiety, nausea and vomiting, painful urination, dandruff, sprained ankle, mild sunburn",YELLOW,4,6
"sneezing, fever",YELLOW,4,2
"stroke symptoms, chest pain, not breathing, seizure single",RED,7,4
mild body ache,GREEN,2,1
"vomiting, mild itching, dry skin, minor bruise",YELLOW,4,4
"severe chest tightness, stuffy nose",ORANGE,6,2
"mild allergies, minor bruise, mild cough",GREEN,2,3
"open wound deep, swollen lymph nodes, wheezing, numbness one side, severe infection signs",ORANGE,6,5
"dry skin, urinary burning, mild itching",YELLOW,4,3
"insomnia, mild cough",GREEN,2,2
mild acne,GREEN,1,1
"migraine, tension pneumothorax, no pulse detected",RED,7,3
"sudden weakness, migraine, hiccups, severe pain",ORANGE,5,4
mild itching,GREEN,1,1
"urinary burning, sprained ankle, nausea and vomiting",YELLOW,4,3
"frequent urination, severe burn, animal bite deep",ORANGE,6,3
"mild fatigue, frequent urination",YELLOW,3,2
watery eyes,GREEN,1,1
unconscious,RED,7,1
"broken bone visible, eye pain, severe asthma attack",ORANGE,6,3
"mild stomach discomfort, nausea and vomiting",YELLOW,4,2
"ankle swelling, dry skin, jaundice, watery eyes",YELLOW,4,4
"diabetic emergency, open wound deep, severe allergic reaction, minor mouth ulcer",ORANGE,6,4
"septic shock symptoms, seizure continuous, tension pneumothorax, facial drooping, muscle cramps",RED,7,5
"night sweats, watery eyes, sprained ankle, toothache severe, chapped lips",YELLOW,4,5
"open wound deep, head injury",ORANGE,6,2
"chest pain, severe head trauma",RED,7,2
"mild constipation, hiccups, mild headache",GREEN,2,3
"stroke symptoms, mild bloating, severe back pain radiating, blurred vision, chest pain",RED,7,5
"slight sore throat, mild bloating",GREEN,2,2
"severe nosebleed, frequent urination, swollen lymph nodes",ORANGE,5,3
"severe trauma, severe head trauma, broken bone visible",RED,7,3
"watery eyes, numbness one side, mild sunburn, minor rash",ORANGE,6,4
"ear pain, blood in urine",YELLOW,4,2
occasional heartburn,GREEN,2,1
"eye pain, mild bloating, mild acne, ear pain, fever",YELLOW,4,5
"severe dehydration, heart attack symptoms, severe headache, high fever with chills",RED,7,4
"shortness of breath, severe nosebleed, common cold, urinary burning",ORANGE,6,4
head injury,ORANGE,6,1
"wheezing, minor fracture pain, insomnia, fever, mild anxiety, sneezing",YELLOW,4,6
"minor bruise, minor fracture pain, mild stomach discomfort, sore throat with fever, stuffy nose",YELLOW,4,5
"sprained ankle, septic shock symptoms, sore throat with fever",RED,7,3
"chest pain, loss of consciousness prolonged, severe trauma",RED,7,3
"minor mouth ulcer, mild itching",GREEN,2,2
"persistent cough, nausea and vomiting, minor fracture pain",YELLOW,4,3
"mild cough, mild allergies, severe dehydration",ORANGE,5,3
"high fever, frequent urination, numbness in fingers",YELLOW,4,3
"mild acne, difficulty breathing, mild stomach discomfort, diabetic emergency, dandruff",ORANGE,6,5
"frequent urination, drowning, electrocution, mild fatigue, not breathing",RED,7,5
"mild bloating, insomnia, weight loss unintentional, chronic indigestion, back pain",YELLOW,4,5
slight sore throat,GREEN,1,1
"mild sunburn, mild headache",GREEN,2,2
"severe trauma, vomiting blood, chest pain, muscle cramps",RED,7,4
"minor bruise, head injury, drug overdose suspected, poisoning suspected, sprained ankle, mild sunburn",ORANGE,6,6
"dandruff, insomnia, diarrhea, minor bruise",YELLOW,3,4
"severe bleeding uncontrolled, electrocution, poisoning suspected, severe nosebleed",RED,7,4
stroke symptoms,RED,7,1
"severe abdominal pain, paper cut, jaundice, numbness one side, head injury",ORANGE,6,5
"severe asthma attack, sudden weakness",ORANGE,6,2
"minor bruise, frequent urination, back pain, slight sore throat",YELLOW,3,4
"dehydration, mild bloating, anaphylaxis, chest pain",RED,7,4
"minor bruise, runny nose, chapped lips",GREEN,1,3
eye injury,ORANGE,5,1
"dizziness, weight loss unintentional, mild sunburn",YELLOW,4,3
"mild headache, runny nose",GREEN,1,2
"hiccups, septic shock symptoms, anaphylaxis, multi organ failure signs, muscle soreness after exercise",RED,7,5
"ankle swelling, painful urination, persistent fatigue",YELLOW,3,3
mild constipation,GREEN,2,1
"head injury, persistent fatigue, eye injury, dandruff, muscle soreness after exercise, severe back pain radiating",ORANGE,6,6
"mild body ache, mild fatigue, severe pain, minor fracture pain, severe dehydration",ORANGE,5,5
"animal bite deep, unconscious, severe head trauma, abdominal pain, chest pain",RED,7,5
severe allergic reaction,ORANGE,6,1
difficulty speaking suddenly,ORANGE,6,1
"chapped lips, stab wound, drowning, chest pain, jaundice",RED,7,5
minor fracture pain,YELLOW,4,1
"dry skin, mild sunburn, mild stomach discomfort",GREEN,2,3
minor bruise,GREEN,1,1
"diarrhea, abdominal pain, persistent fatigue",YELLOW,4,3
"seizure single, drug overdose suspected, skin rash with fever",ORANGE,6,3
"electrocution, numbness in fingers, mild nausea, gunshot wound, severe bleeding uncontrolled, ear pain",RED,7,6
"mild body ache, shortness of breath, wheezing, chest tightness, poisoning suspected",ORANGE,6,5
"severe headache, severe back pain radiating",ORANGE,5,2
drowning,RED,7,1
"coughing blood, mild cough, common cold, severe head trauma",RED,7,4
muscle cramps,YELLOW,3,1
"mild anxiety, occasional heartburn, runny nose",GREEN,2,3
"gunshot wound, heart attack symptoms, numbness one side, vomiting blood, nausea and vomiting",RED,7,5
"sudden weakness, seizure single, high fever, muscle soreness after exercise, nausea and vomiting, difficulty speaking suddenly",ORANGE,6,6
"mild constipation, occasional heartburn, mild sunburn",GREEN,2,3
mild headache,GREEN,1,1
"seizure continuous, cardiac arrest",RED,7,2
"vomiting, mild fatigue, sore throat with fever, toothache severe, mild acne",YELLOW,4,5
"stab wound, gunshot wound",RED,7,2
"mild headache, paper cut",GREEN,1,2
"diabetic emergency, heart attack symptoms, mild itching, mild nausea",RED,7,4
unconscious,RED,7,1
"seizure continuous, stab wound",RED,7,2
"dry skin, dandruff, mild constipation",GREEN,2,3
mild constipation,GREEN,2,1
"chest tightness, weight loss unintentional, persistent cough",YELLOW,4,3
"numbness one side, electrocution, massive hemorrhage, choking",RED,7,4
"severe head trauma, loss of consciousness prolonged, facial drooping",RED,7,3
"dehydration, ear pain, chapped lips, minor bruise, hiccups",YELLOW,4,5
"skin rash with fever, occasional heartburn, mild body ache, insomnia, sprained ankle",YELLOW,4,5
"hiccups, minor bruise",GREEN,1,2
"eye pain, fever",YELLOW,4,2
"sudden weakness, night sweats, severe pain",ORANGE,5,3
"dry skin, mild acne, blurred vision, mild anxiety, eye pain",YELLOW,4,5
"multi organ failure signs, choking, severe chest tightness",RED,7,3
"head injury, unconscious, sore throat with fever",RED,7,3
"sneezing, severe back pain radiating, blurred vision, head injury, severe dehydration",ORANGE,6,5
"mild bloating, runny nose, muscle soreness after exercise",GREEN,2,3
"sudden weakness, severe allergic reaction, dandruff, severe asthma attack",ORANGE,6,4
diarrhea,YELLOW,3,1
"chronic indigestion, skin rash with fever",YELLOW,4,2
"seizure continuous, septic shock symptoms, massive hemorrhage",RED,7,3
"common cold, mild nausea",GREEN,2,2
severe dehydration,ORANGE,5,1
